,mean_pagerank,mean_betweeness_centrality,number_of_companies,group_betweeness_centrality,d_aspl,d_cc
Bulgaria,0.0001723357290151077,0.0,2,0.0,-0.0002854145748103498,1.0
Bosnia and Herzegovina,0.0001723357290151077,0.0,1,-1.9773584115575984e-19,0.00035431019882459225,1.0
Egypt,0.0001723357290151077,0.0,5,1.5702634653298335e-06,0.0017871039946246725,1.0
Croatia,0.0001723357290151077,0.0,3,3.954716823115197e-19,0.00038213904446671165,1.0
Greece,0.0001723357290151077,0.0,3,-3.9599375713965368e-19,0.0007090384324959231,1.0
Ukraine,0.0001723357290151077,0.0,2,-3.9599375713965368e-19,0.0007090384324959231,1.0
Turkey,0.0001723357290151077,0.0,5,-3.9599375713965368e-19,0.0007090384324959231,1.0
Slovenia,0.0001723357290151077,0.0,1,-1.9773584115575984e-19,0.00035431019882459225,1.0
South Africa,0.0001723357290151077,0.0,1,2.313580246522609e-06,-0.0009084236721847994,1.0
Uzbekistan,0.0001723357290151077,0.0,1,-1.9773584115575984e-19,0.00035431019882459225,1.0
Spain,0.000202924930450123,5.856238561045821e-09,19,1.0515644447797402e-06,0.0043515747248474845,1.0
Slovakia,0.00023418824205425557,1.3575737406698244e-05,2,2.039598062988047e-05,0.0007543200055080135,1.0
Ireland,0.00024721477673253083,1.4287269147126833e-06,1,7.358378882052842e-06,0.00038996590730366876,1.0
Belgium,0.0002642168105828349,0.0,11,2.910341403424305e-07,0.0005134716124404193,1.0
India,0.0002690431976050597,4.206291720626465e-07,16,0.0,-0.0007315571423487377,1.0
Ponce Municipio (United States of America),0.0002828432711488935,0.001024884205912586,1,2.331996749269393e-05,0.000390835558730096,1.0
Switzerland,0.00032293042438861553,0.0007163084706363732,3,0.000572458367743581,0.0002428087093120368,1.0
Russian Federation,0.00035415366686966274,0.0006529070082420361,79,0.04795060067205806,inf,24.0
Vietnam,0.00036671526138196315,8.223321575305014e-06,47,0.0021456564857673423,inf,2.0
Republic of Korea,0.00038904454343411223,0.00028072481661137546,267,0.052055516676904424,inf,22.0
Philippines,0.0003954947302539814,0.00013768381364340983,17,0.005241691624499467,inf,4.0
Hungary,0.0004422482012172987,7.804564082316832e-08,17,0.00014673446232194238,0.00262075353138691,1.0
Czech Republic,0.0004455643174374159,9.455287105721816e-05,24,0.0015006583992635888,0.004143251338861287,1.0
"Taiwan, China",0.0004481315679738969,0.00010370031551645868,200,0.012471413154200037,inf,8.0
Germany,0.0004643101960949764,0.00010402797898120051,53,0.0078064246031509365,inf,4.0
Cayman Islands,0.0004816673195891661,0.0,18,3.8831717754319116e-06,-0.0008130529646996898,1.0
United States of America,0.0005090301095017715,0.0002705984736509939,575,0.11128142107191219,inf,32.0
Italy,0.000530515700507304,0.00010136705528459246,30,0.0016579224724313,inf,2.0
Brazil,0.0005355616380467044,0.0004564777832189056,34,0.005505545826912509,inf,2.0
Malaysia,0.0005579668987605873,0.00038320028602658636,43,0.006317929723584974,inf,3.0
Thailand,0.0005634017596843597,2.024444537836151e-07,15,0.00023998859008111383,0.0021615936369268063,1.0
Israel,0.0005735690505034408,8.210261483900257e-05,14,0.0013882780650747485,inf,2.0
China,0.000575465473359679,0.00021063691213792793,914,0.05641242295463626,inf,23.0
Norway,0.0005908589021513998,0.0002569819964761724,5,0.0026411348236027522,inf,3.0
Canada,0.0006400578472550556,0.00020536107702160395,23,0.008560742003039704,inf,4.0
Serbia,0.0006613679443194263,1.6898653900005218e-05,3,1.2659490800836608e-05,0.00012771133431677129,1.0
France,0.0007005128272245899,0.0002957487840459445,31,0.011161856851895312,inf,7.0
United Kingdom,0.0007883131651063432,0.000523384066600527,42,0.011774176722373195,inf,3.0
"Hong Kong SAR, China",0.0008208885196363206,0.0005092408475996645,16,0.003120636335660282,inf,2.0
Mexico,0.0008236060667527358,7.455823458991599e-05,7,0.0012994678064819631,0.0007509554709592692,1.0
Sweden,0.0009598884769234113,0.001952495966006286,12,0.008361797709662975,inf,3.0
Poland,0.0009648498285851065,0.0,2,0.0,0.000734291617444871,1.0
Australia,0.001042225366576869,0.004015633856798389,9,0.02166978248223869,inf,4.0
Finland,0.0010933284810155587,0.0018555849896102177,8,0.016430947340717737,inf,7.0
Austria,0.0012640252194863648,0.0014565985362093247,3,0.000621920158810009,0.000805697174887321,1.0
Singapore,0.0012872794328702567,0.00022638971511562106,40,0.01663695508307385,inf,5.0
Japan,0.0013303376987431467,0.001439333522546731,337,0.8804533078009061,inf,524.0
Romania,0.0018340659680706319,0.003631495332430826,6,0.02007973473829818,inf,11.0
Estonia,0.0022997363363155003,0.0016481483581682003,1,0.0002316320209140241,0.00046997383852476204,1.0
Netherlands,0.002613694885751343,0.001047025301672199,3,0.002878552980456522,inf,2.0
Indonesia,0.0028526952932790353,0.001166357889159377,1,0.001368881351822243,0.0005351976954983684,1.0
Bermuda,0.0030791715026649213,0.0,1,0.0003329990328957083,0.0004908454727563516,1.0
Morocco,,,1,,,
New Zealand,,,2,,,
Virgin Islands (British),,,2,,,
